janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
33.2;29.1;3.0;28.6;44.4;63.0;60.2;76.8;61.3;48.6;45.0;29.2
38.4;33.5;6.6;30.8;45.2;67.6;55.0;76.0;60.6;45.2;47.8;29.5
36.8;20.4;9.7;30.1;47.7;66.2;55.0;75.8;60.4;41.1;45.3;30.1
-99;11.7;8.9;31.2;48.3;59.2;59.8;69.3;58.1;36.6;41.8;38.0
38.3;15.7;10.6;39.6;49.9;48.9;62.3;66.2;59.1;45.1;42.2;35.7
34.5;15.1;19.6;36.7;52.6;48.3;63.0;63.0;61.3;46.3;43.0;27.5
28.3;16.7;16.9;37.6;57.9;52.3;68.7;64.6;62.8;40.3;46.7;31.9
28.9;23.2;21.7;40.1;54.8;53.4;64.0;66.1;66.8;41.2;43.2;34.5
30.5;19.8;31.0;43.2;52.7;55.8;64.3;75.7;63.7;52.3;41.0;38.8
26.0;20.0;31.8;36.2;54.8;58.9;60.9;73.7;62.5;52.8;40.9;35.6
24.6;24.1;32.5;32.4;57.9;67.7;64.8;67.3;59.6;48.3;41.0;33.1
24.8;26.6;31.0;37.5;59.5;60.4;68.4;58.2;57.4;50.4;41.0;31.3
27.3;31.4;34.7;39.2;62.7;58.9;71.3;58.5;55.4;53.2;42.4;28.0
25.1;31.6;26.7;43.0;67.8;62.0;72.3;60.7;55.3;55.3;-99;22.7
19.4;25.0;17.4;43.2;68.4;63.3;75.4;60.6;56.5;53.9;-99;21.1
20.4;22.8;16.6;46.2;65.2;63.9;77.4;62.3;53.0;52.3;47.9;24.3
20.7;18.1;19.8;44.8;62.3;65.5;77.8;66.1;50.7;51.5;-99;30.7
24.1;13.1;29.1;48.4;56.9;64.8;75.6;68.4;58.3;51.0;38.7;32.3
23.7;11.4;32.2;50.8;56.2;58.6;74.5;64.5;60.9;43.1;30.5;31.6
25.6;9.8;24.2;50.8;58.9;61.6;67.9;57.1;60.3;39.6;30.4;24.2
18.5;2.7;21.1;47.1;63.0;57.0;70.2;56.8;61.9;46.9;28.1;19.2
17.3;0.3;31.5;39.7;63.8;53.5;71.7;59.4;56.5;50.1;30.3;15.6
17.2;4.1;25.5;38.5;64.7;57.0;70.4;65.3;51.3;41.0;31.2;14.7
29.9;4.9;29.6;43.8;58.1;57.5;72.2;66.4;39.9;38.1;29.9;11.1
39.3;12.7;35.2;43.6;57.9;58.9;74.8;62.3;44.0;33.3;22.9;32.4
37.3;12.7;25.6;43.2;58.1;63.0;74.2;58.5;49.4;34.7;25.7;33.0
34.9;-0.8;21.9;41.2;61.5;67.3;75.4;58.5;47.6;33.1;24.0;30.4
31.4;0.9;24.9;44.2;61.5;69.1;76.4;58.5;43.2;30.7;22.1;30.1
31.4;;25.8;43.2;66.4;56.9;76.5;59.5;41.5;28.3;31.1;31.7
26.1;;24.8;45.5;64.6;56.1;76.3;58.0;49.2;37.2;33.3;31.3
24.7;;26.3;;57.8;;76.4;60.4;;45.4;;29.2
