janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
32.1;30.6;5.6;25.6;37.6;69.7;65.7;69.7;55.1;40.1;36.8;39.1
28.5;16.7;12.2;26.2;44.5;72.1;68.5;65.4;57.3;36.1;40.8;37.3
26.1;14.3;17.3;26.3;43.5;73.6;71.4;65.9;59.2;42.6;36.3;38.5
30.2;9.8;20.1;33.9;46.8;64.9;70.8;67.8;58.3;38.3;44.2;34.9
25.0;10.5;19.8;34.9;55.2;53.0;67.3;65.6;58.6;47.7;40.3;26.4
20.7;17.6;21.3;36.1;56.0;56.1;68.4;60.7;57.3;42.1;42.1;23.2
16.1;15.8;26.3;33.9;56.5;66.4;65.0;63.7;58.3;39.6;42.1;28.4
17.4;17.2;25.9;35.1;58.6;67.1;65.8;61.6;57.4;48.2;43.6;28.7
11.6;29.5;22.9;34.0;60.5;68.5;61.9;68.0;55.2;53.3;42.6;30.0
13.8;26.6;19.9;36.4;61.3;69.5;70.8;58.9;56.6;55.1;43.6;35.5
23.6;26.3;23.4;31.6;54.5;59.8;73.3;57.6;51.6;49.2;45.7;34.8
22.3;27.8;28.4;36.8;55.0;60.9;67.3;52.5;52.5;47.9;45.2;19.7
24.0;21.7;30.2;38.2;61.1;59.1;71.2;55.4;51.8;58.2;42.6;17.6
23.6;29.8;24.2;42.7;64.6;56.2;68.6;56.1;52.0;57.6;-99;11.8
26.1;29.2;22.5;45.3;65.3;57.1;68.0;56.8;51.5;49.7;-99;15.5
30.4;27.4;12.8;42.7;62.7;59.3;71.6;61.9;48.1;41.6;44.0;26.5
29.7;19.5;11.8;42.5;52.1;53.1;74.8;58.9;54.0;48.7;-99;23.8
24.1;25.2;13.4;47.0;55.4;53.6;71.8;55.5;62.0;44.2;34.2;14.4
24.0;26.6;27.8;48.0;58.1;58.8;71.7;59.2;61.2;37.8;29.7;27.8
25.1;21.2;33.0;45.9;58.5;51.7;70.7;53.6;53.5;35.6;26.8;31.4
22.6;20.9;32.0;48.9;61.0;50.1;67.2;54.6;49.0;47.4;32.0;27.4
20.0;18.0;32.3;46.1;60.1;52.5;68.3;57.4;50.4;43.3;24.4;23.7
26.6;18.3;29.6;42.9;63.0;60.3;71.6;58.7;47.2;41.1;18.3;17.7
34.9;21.6;35.2;45.4;65.5;63.3;72.9;56.0;39.6;38.9;22.8;9.8
36.1;15.5;36.7;43.7;68.1;70.9;72.9;53.1;43.9;34.3;26.5;23.8
28.3;8.0;27.4;43.5;66.7;71.6;74.6;50.6;53.3;31.5;21.4;29.5
16.1;11.8;20.6;42.0;69.1;70.4;77.1;52.2;44.5;31.8;16.5;27.7
28.0;7.2;20.4;40.1;66.9;68.4;73.5;56.2;41.0;29.8;17.2;20.7
24.3;;22.4;43.5;67.0;59.7;71.0;54.0;42.7;28.1;31.9;20.3
15.2;;23.3;44.5;72.7;59.7;66.1;57.4;47.2;32.5;39.8;22.4
29.2;;23.9;;70.6;;72.9;55.2;;39.5;;32.5
